ARHGAP8,APOBEC3C
ARHGAP9,AGAP2
ARHGAP9,ANKRD33
ARHGAP9,APOF
ARHGAP9,ARF3
ARHGEF1,ACP7
ARHGEF1,ALDH16A1
ARHGEF1,AP2A1
ARHGEF1,APLP1
ARHGEF1,ARHGAP33
ARHGEF11,ANXA9
ARHGEF11,AQP10
ARHGEF12,AKAP13
ARHGEF15,ACAP1
ARHGEF15,ALDH3A1
ARHGEF15,ALOX12B
ARHGEF15,ALOX15
ARHGEF15,ALOX15B
ARHGEF15,ALOXE3
ARHGEF15,ARHGAP44
ARHGEF16,ACAP3
ARHGEF16,AGRN
ARHGEF17,ACY3
ARHGEF17,ALDH3B2
ARHGEF17,ARAP1
ARHGEF18,ACTL9
ARHGEF2,AQP10
ARHGEF25,AGAP2
ARHGEF25,ANKRD33
ARHGEF39,ALDH1B1
ARHGEF39,ANKRD18A
ARHGEF39,APTX
ARHGEF39,AQP7
ARHGEF40,ANG
ARHGEF5,ABCF2
ARHGEF5,ACTR3B
ARHGEF5,AGBL3
ARHGEF5,ARHGEF35
ARHGEF7,ACTB
ARHGEF7,ACTR2
ARHGEF7,ALG5
ARHGEF7,ALG6
ARHGEF7,ANKRD49
ARID1B,ARID1A
ARID3A,ABCC3
ARID3A,AGBL4
ARID3C,ANKRD18A
ARID3C,APTX
ARID3C,AQP3
ARID5A,ADRA2B
ARID5A,ANKRD39
ARIH1,ACTG1
ARIH2OS,ARIH2
ARL1,ARFRP1
ARL13B,ABHD10
ARL13B,ADGRG7
ARL4D,AARSD1
ARL4D,ACBD4
ARL4D,ADAM11
ARL4D,ANKRD40
ARL4D,AOC2
ARL4D,AOC3
ARL5C,ACSF2
ARL5C,ADAM11
ARL5C,ADAP2
ARL5C,AOC2
ARL5C,AOC3
ARL5C,ARHGAP23
ARL6,ABHD10
ARL6,ARL13B
ARL6IP1,ACSM3
ARL6IP4,ABCB9
ARL6IP4,ACADS
ARL8B,ANKFY1
ARL9,AASDH
ARL9,ADGRL3
ARL9,AFP
ARL9,AMBN
ARMC10,AGFG2
ARMC10,ALKBH4
ARMC10,AP1S1
ARMC12,ANKS1A
ARMC4,AKR1C1
ARMC5,ACSM3
ARMC5,AHSP
ARMC6,ACP5
ARMC6,ANKLE1
ARMCX6,ARMCX3
ARMH1,ADGRB2
ARMH1,AGO4
ARMH1,AKR1A1
ARNT,ADAMTSL4
ARNT,AHR
ARNT,AIP
ARPC1B,AP4M1
ARPC2,ABI1
ARPC2,ACTR2
ARPC2,ACTR3
ARPC3,ACTR2
ARPC3,ACTR3
ARPC3,ALG6
ARPC3,ARPC2
ARPC4,ABI1
ARPC4,ACTR2
ARPC4,ACTR3
ARPC4,AFDN
ARPC4,ALG6
ARPC4,ARF1
ARPC4,ARHGEF7
ARPC4,ARPC2
ARPC4,ARPC3
ARPIN,ALPK3
ARRDC1,ABCA2
ARRDC1,AK8
ARRDC2,ABHD8
ARRDC2,ACP5
ARRDC2,ADAMTS10
ARRDC2,ADGRE2
ARRDC2,ADGRE3
ARRDC2,ADGRE5
ARRDC2,ADGRL1
ARRDC2,AKAP8
ARRDC2,ANGPTL8
ARRDC2,ANKLE1
ARRDC2,ANO8
ARRDC2,ARMC6
ARRDC5,ALKBH7
ARSA,ACR
ARSB,ANKRD34B
ARSK,ACOT12
ART5,AMPD3
ART5,ART1
ARTN,ARMH1
ARVCF,AIFM3
ASAH2,A1CF
ASAH2,AGAP5
ASB10,ABCB8
ASB10,ABCF2
ASB10,AOC1
ASB11,ACE2
ASB11,ADGRG2
ASB12,ARHGEF9
ASB16,AARSD1
ASB16,ADAM11
ASB16,ANKRD40
ASB16,AOC2
ASB6,AK1
ASB6,AK8
ASB8,AGAP2
ASB8,AMHR2
ASB8,ANKRD33
ASB8,ANO6
ASB8,ANP32D
ASB8,AQP2
ASB8,AQP5
ASB8,AQP6
ASB8,ARF3
ASB8,ARHGAP9
ASB9,ASB11
ASCC2,ADORA2A
ASCC3,ASCC2
ASCL3,ADM
ASCL5,ARL8A
ASF1B,ACP5
ASF1B,ADAMTS10
ASF1B,ADGRE1
ASF1B,ADGRE2
ASF1B,ADGRE5
ASF1B,ADGRL1
ASF1B,AKAP8
ASF1B,ANGPTL8
ASF1B,ANKLE1
ASF1B,ARMC6
ASF1B,ARRDC2
ASGR1,ACADVL
ASGR1,AIPL1
ASGR1,ALOX12B
ASGR1,ALOX15
ASGR1,ALOX15B
ASGR1,ALOXE3
ASGR1,ARHGEF15
ASGR2,ACADVL
ASGR2,ACAP1
ASGR2,AIPL1
ASGR2,ALOX12B
ASGR2,ALOX15
ASGR2,ALOX15B
ASGR2,ALOXE3
ASGR2,ARHGAP44
ASGR2,ARHGEF15
ASIC1,ACVRL1
ASIC1,ADAMTS20
ASIC1,ADCY6
ASIC1,AGAP2
ASIC1,ANKRD33
ASIC1,APOF
ASIC1,AQP2
ASIC1,AQP5
ASIC1,AQP6
ASIC1,ARF3
ASIC1,ARHGAP9
ASIC1,ARHGEF25
ASIC1,ASB8
ASIC4,ANKZF1
ASL,ABHD11
ASL,ALKBH4
ASMT,AKAP17A
ASMT,ANOS1
ASMTL,AKAP17A
ASMTL,ASMT
ASPDH,ALDH16A1
ASPG,APOPT1
ASPHD2,ADORA2A
ASPHD2,APOBEC3C
ASPM,ANAPC15
ASPSCR1,AANAT
ASPSCR1,AATK
ASPSCR1,AFMID
ASRGL1,ALDH3B2
ASRGL1,AP5B1
ASXL1,ADA
ATAD3B,ATAD3A
ATAT1,AIF1
ATAT1,APOM
ATCAY,ACSBG2
ATCAY,ACTL9
ATCAY,ADAMTS10
ATCAY,AMH
ATCAY,ANGPTL6
ATCAY,ANGPTL8
ATCAY,ANKRD24
ATCAY,APC2
ATF1,AMHR2
ATF1,AQP6
ATF5,APLP1
ATF6,APOA2
ATF7,AMHR2
ATF7,ARHGAP9
ATG12,ATG10
ATG12,ATG101
ATG13,ACCSL
ATG13,ATG101
ATG13,ATG12
ATG14,ATG101
ATG14,ATG13
ATG16L2,ARHGEF17
ATG2A,ACY3
ATG2A,AHNAK
ATG2A,ALDH3B2
ATG2A,ANO1
ATG2A,AP5B1
ATG3,ATG10
ATG3,ATG101
ATG3,ATG12
ATG3,ATG13
ATG3,ATG16L1
ATG4B,ANO7
ATG4C,AGO4
ATG4D,ACSBG2
ATG4D,ADAMTS10
ATG4D,ADGRE1
ATG4D,AKAP8
ATG4D,ANGPTL6
ATG4D,ANKLE1
ATG5,ATG10
ATG5,ATG12
ATG5,ATG16L1
ATG5,ATG3
ATG7,ATG10
ATG7,ATG101
ATG7,ATG12
ATG7,ATG13
ATG7,ATG14
ATG7,ATG16L1
ATG7,ATG3
ATG7,ATG4B
ATG7,ATG5
ATG9A,ATG101
ATG9A,ATG12
ATG9A,ATG13
ATG9A,ATG14
ATG9A,ATG3
ATG9A,ATG7
ATIC,ACLY
ATIC,ACO2
ATIC,ADSL
ATIC,ADSS
ATIC,AHCY
ATIC,AHCYL1
ATIC,ALAD
ATIC,ALAS1
ATIC,AMD1
ATIC,AP2M1
ATIC,AP2S1
ATL3,AP5B1
ATN1,APOBEC1
ATP10A,APBA2
ATP10D,APBB2
ATP12A,AMER2
ATP1A1,ADSL
ATP1A1,ADSS
ATP1A1,AHCY
ATP1A1,AMD1
ATP1A1,AP2M1
ATP1A1,AP2S1
ATP1A1,ATIC
ATP1A2,APOA2
ATP1A3,ACP7
ATP1A3,ADM5
ATP1A3,AKT2
ATP1A3,ALKBH6
ATP1A3,ANKRD27
ATP1A3,APLP1
ATP1A3,APOC1
ATP1A3,APOC2
ATP1A3,APOC4
ATP1A3,ARHGAP33
ATP1A3,ARHGEF1
ATP1A4,APOA2
ATP1B1,ADH5
ATP1B2,ACAP1
ATP1B2,ALKBH5
ATP1B2,ALOX15
ATP1B2,ALOX15B
ATP1B2,ARHGEF15
ATP1B3,ADSS
ATP1B3,AGPS
ATP1B3,AK2
ATP1B3,ALAS1
ATP1B3,ATIC
ATP23,AGAP2
ATP23,APOF
ATP23,ARHGAP9
ATP2A1,ABCC6
ATP2A1,ACSM2A
ATP2A1,ACSM3
ATP2A1,AHSP
ATP2A1,APOBR
ATP2A1,AQP8
ATP2A1,ASPHD1
ATP2A3,ALOXE3
ATP2A3,ASGR2
ATP4A,ACP7
ATP4A,ADM5
ATP4A,ALKBH6
ATP4A,ANKRD27
ATP4A,APLP1
ATP4A,ARHGAP33
ATP4A,ATP1A3
ATP5F1A,ACAD9
ATP5F1A,AFG3L2
ATP5F1B,ACAD9
ATP5F1B,ATP5F1A
ATP5F1C,ACAD9
ATP5F1C,ATP5F1A
ATP5F1C,ATP5F1B
ATP5F1D,ACAD9
ATP5F1D,ATP5F1A
ATP5F1D,ATP5F1B
ATP5F1D,ATP5F1C
ATP5MC1,ANKRD40
ATP5MC2,APOF
ATP5MC2,ARHGAP9
ATP5MD,ANKRD30A
ATP5ME,ACAD9
ATP5ME,ATP5F1A
ATP5ME,ATP5F1B
ATP5ME,ATP5F1C
ATP5ME,ATP5F1D
ATP5MF,ACAD9
ATP5MF,ATP5F1A
ATP5MF,ATP5F1B
ATP5MF,ATP5F1C
ATP5MF,ATP5F1D
ATP5MF,ATP5ME
ATP5MG,ATP5F1A
ATP5MG,ATP5F1B
ATP5MG,ATP5F1C
ATP5MG,ATP5F1D
ATP5MG,ATP5ME
ATP5MG,ATP5MF
ATP5MGL,ATP5MG
ATP5MPL,ATP5F1A
ATP5MPL,ATP5F1B
ATP5MPL,ATP5ME
ATP5PB,ACAD9
ATP5PB,AFG3L2
ATP5PB,ATP5F1A
ATP5PB,ATP5F1B
ATP5PB,ATP5F1C
ATP5PB,ATP5F1D
ATP5PB,ATP5ME
ATP5PB,ATP5MF
ATP5PB,ATP5MG
ATP5PB,ATP5MPL
ATP5PD,ACAD9
ATP5PD,ATP5F1A
ATP5PD,ATP5F1B
ATP5PD,ATP5F1C
ATP5PD,ATP5F1D
ATP5PD,ATP5ME
ATP5PD,ATP5MF
ATP5PD,ATP5MG
ATP5PD,ATP5MPL
ATP5PD,ATP5PB
ATP5PF,ACAD9
ATP5PF,ATP5F1A
ATP5PF,ATP5F1B
ATP5PF,ATP5F1C
ATP5PF,ATP5F1D
ATP5PF,ATP5ME
ATP5PF,ATP5MF
ATP5PF,ATP5MG
ATP5PF,ATP5PB
ATP5PF,ATP5PD
ATP5PO,ATP5F1A
ATP5PO,ATP5F1B
ATP5PO,ATP5F1C
ATP5PO,ATP5F1D
ATP5PO,ATP5ME
ATP5PO,ATP5MF
ATP5PO,ATP5MG
ATP5PO,ATP5PB
ATP5PO,ATP5PD
ATP5PO,ATP5PF
ATP6AP1,ADSS
ATP6AP1,AP2M1
ATP6AP1,AP2S1
